Measurement E9M1
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.35 - 0.45
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.18	0.8	0.1	255	16.1	2.19	0.7583
1.18	0.8	0.1	285	15.7	2	0.559
1.18	0.8	0.1	315	14.3	1.7	0.7124
1.18	0.8	0.1	345	6.77	1.02	0.8138
1.18	0.8	0.3	15	8.66	1.14	0.1689
1.18	0.8	0.3	45	13.8	1.71	1.5516
1.18	0.8	0.3	75	15.9	1.97	1.5945
1.18	0.8	0.3	105	12.2	1.87	1.8574
1.18	0.8	0.3	135	15.7	2.25	2.0922
1.18	0.8	0.3	165	15	1.78	1.4654
1.18	0.8	0.3	195	11.4	1.31	1.1885
1.18	0.8	0.3	225	14.8	2.09	1.0247
1.18	0.8	0.3	255	19.1	2.6	1.0512
1.18	0.8	0.3	285	19.3	2.33	1.0223
1.18	0.8	0.3	315	8.7	1.11	1.3012
1.18	0.8	0.3	345	7.73	1.03	0.5709
1.18	0.8	0.5	15	6.64	1.03	1.0625
1.18	0.8	0.5	45	9.61	1.26	0.4656
1.18	0.8	0.5	75	13	1.66	0.8216
1.18	0.8	0.5	105	15.7	2.24	0.6708
1.18	0.8	0.5	135	10.8	1.66	2.6472
1.18	0.8	0.5	165	13.8	1.61	0.6124
1.18	0.8	0.5	195	14	1.61	1.1769
1.18	0.8	0.5	225	16.3	2.4	1.1336
1.18	0.8	0.5	255	18.6	2.57	1.6867
1.18	0.8	0.5	285	12.7	1.68	0.3202
1.18	0.8	0.5	315	11.2	1.4	0.916
1.18	0.8	0.5	345	10.4	1.41	0.2693
1.18	0.8	0.7	15	5.43	0.807	0.255
1.18	0.8	0.7	45	10.9	1.36	1.1747
1.18	0.8	0.7	75	10.2	1.44	0.5468
1.18	0.8	0.7	105	15.2	2.06	0.7714
1.18	0.8	0.7	135	13.6	1.91	0.5979
1.18	0.8	0.7	165	16.3	1.94	1.5984
1.18	0.8	0.7	195	11	1.44	0.4848
1.18	0.8	0.7	225	13.7	1.87	0.7348
1.18	0.8	0.7	255	14.1	2.15	1.3919
1.18	0.8	0.7	285	13.7	1.67	0.3969
1.18	0.8	0.7	315	10.6	1.36	0.6633
1.18	0.8	0.7	345	6.57	0.984	0.2976
1.18	0.8	0.9	15	7.51	1.22	0.6429
1.18	0.8	0.9	45	7.95	1.11	1.129
1.18	0.8	0.9	75	10.6	1.57	0.7814
1.18	0.8	0.9	105	10.9	1.59	1.5025
1.18	0.8	0.9	135	12.9	1.76	0.789
1.18	0.8	0.9	165	13.4	1.72	1.7521
1.18	0.8	0.9	195	10.9	1.54	0.8548
1.18	0.8	0.9	225	13.5	1.83	0.9138
1.18	0.8	0.9	255	8.78	1.39	1.4245
1.18	0.8	0.9	285	13.5	2.01	2.5287
1.18	0.8	0.9	315	13.6	1.8	1.7993
1.18	0.8	0.9	345	5.44	0.889	0.2619
Measurement E9M84
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.45 - 0.6
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.2	0.791	-0.9	15	9.14	1.34	0.3239
1.2	0.791	-0.9	45	10.1	1.42	0.7249
1.2	0.791	-0.9	75	11	1.47	0.9747
1.2	0.791	-0.9	105	9.52	1.51	0.5661
1.2	0.791	-0.9	135	10.5	1.58	0.6134
1.2	0.791	-0.9	165	6.69	1.08	0.7156
1.2	0.791	-0.9	195	11.6	1.73	1.9572
1.2	0.791	-0.9	225	8.04	1.26	1.0466
1.2	0.791	-0.9	255	9.85	1.32	0.7149
1.2	0.791	-0.9	285	11	1.53	0.3841
1.2	0.791	-0.9	315	9.64	1.24	0.389
1.2	0.791	-0.9	345	14.6	1.83	0.9327
1.2	0.791	-0.7	15	15.8	1.74	1.4491
1.2	0.791	-0.7	45	13.7	1.4	0.5523
1.2	0.791	-0.7	75	20.5	2.2	1.5452
1.2	0.791	-0.7	105	15.8	1.81	1.1136
1.2	0.791	-0.7	135	12.9	1.66	0.8016
1.2	0.791	-0.7	165	10.5	1.28	0.6589
1.2	0.791	-0.7	195	12	1.5	1.0665
1.2	0.791	-0.7	225	16.4	1.91	1.6591
1.2	0.791	-0.7	255	13.6	1.6	0.5123
1.2	0.791	-0.7	285	15.1	1.77	0.6538
1.2	0.791	-0.7	315	16.6	1.69	1.301
1.2	0.791	-0.7	345	14.6	1.54	0.5568
1.2	0.791	-0.5	15	10.6	1.16	0.4848
1.2	0.791	-0.5	45	17	1.61	0.495
1.2	0.791	-0.5	75	23.7	2.45	1.4883
1.2	0.791	-0.5	105	20.4	2.28	1.3351
1.2	0.791	-0.5	135	16.6	1.95	1.4603
1.2	0.791	-0.5	165	11	1.28	1.4671
1.2	0.791	-0.5	195	9.72	1.2	0.5503
1.2	0.791	-0.5	225	13.5	1.64	1.3592
1.2	0.791	-0.5	255	16.2	2	0.8292
1.2	0.791	-0.5	285	20.6	2.04	1.1895
1.2	0.791	-0.5	315	14.8	1.55	0.3969
1.2	0.791	-0.5	345	12.8	1.37	0.781
1.2	0.791	-0.3	15	10.5	1.16	0.862
1.2	0.791	-0.3	45	18.2	1.78	1.0735
1.2	0.791	-0.3	75	19.6	2.1	0.4183
1.2	0.791	-0.3	105	25.2	2.9	1.5652
1.2	0.791	-0.3	135	15.5	2.05	0.7382
1.2	0.791	-0.3	165	11.4	1.3	0.7842
1.2	0.791	-0.3	195	11.5	1.27	1.5419
1.2	0.791	-0.3	225	16.8	2.06	0.6764
1.2	0.791	-0.3	255	27	2.97	1.4807
1.2	0.791	-0.3	285	20.6	2.1	1.0909
1.2	0.791	-0.3	315	19.5	1.84	1.3509
1.2	0.791	-0.3	345	9.69	1.1	0.3483
1.2	0.791	-0.1	15	16.8	1.62	0.2693
1.2	0.791	-0.1	45	17.4	1.73	0.4
1.2	0.791	-0.1	75	28.4	2.72	1.7642
1.2	0.791	-0.1	105	21.4	2.81	0.669
1.2	0.791	-0.1	135	18.5	2.38	1.7903
1.2	0.791	-0.1	165	15.2	1.72	0.5701
1.2	0.791	-0.1	195	17.3	1.8	1.941
1.2	0.791	-0.1	225	21.6	2.48	1.0223
1.2	0.791	-0.1	255	26.1	3.2	1.4891
1.2	0.791	-0.1	285	18.8	2.01	2.8978
1.2	0.791	-0.1	315	17.6	1.72	1.7972
1.2	0.791	-0.1	345	15.6	1.56	0.7416
1.2	0.791	0.1	15	12.6	1.34	0.4031
1.2	0.791	0.1	45	19.7	1.91	0.745
1.2	0.791	0.1	75	21.2	2.31	0.2345
1.2	0.791	0.1	105	21.8	2.93	1.063
1.2	0.791	0.1	135	24.3	3.15	1.6447
1.2	0.791	0.1	165	12.3	1.46	0.6442
1.2	0.791	0.1	195	19.7	2.16	1.9513
1.2	0.791	0.1	225	22.1	2.7	1.6718
1.2	0.791	0.1	255	21.2	2.63	0.5362
1.2	0.791	0.1	285	29.7	2.9	0.8588
1.2	0.791	0.1	315	16.4	1.63	0.25
1.2	0.791	0.1	345	13.4	1.41	0.1118
1.2	0.791	0.3	15	10.8	1.18	0.45
1.2	0.791	0.3	45	19.2	1.77	2.4156
1.2	0.791	0.3	75	28.5	3.04	4.2691
1.2	0.791	0.3	105	24.9	3.28	1.7685
1.2	0.791	0.3	135	20	2.75	0.9862
1.2	0.791	0.3	165	15.7	1.78	0.8515
1.2	0.791	0.3	195	17.2	1.88	1.2196
1.2	0.791	0.3	225	29	3.42	1.4858
1.2	0.791	0.3	255	23.6	2.84	1.1045
1.2	0.791	0.3	285	28.1	2.86	1.4265
1.2	0.791	0.3	315	15.1	1.51	1.199
1.2	0.791	0.3	345	14.3	1.45	0.6652
1.2	0.791	0.5	15	9.19	1.09	0.1881
1.2	0.791	0.5	45	17.7	1.8	0.4637
1.2	0.791	0.5	75	26.6	2.7	1.3739
1.2	0.791	0.5	105	19.2	2.49	1.2083
1.2	0.791	0.5	135	24	3.14	1.1478
1.2	0.791	0.5	165	21.6	2.15	1.7564
1.2	0.791	0.5	195	20.4	2.11	1.5992
1.2	0.791	0.5	225	30.5	3.63	2.0555
1.2	0.791	0.5	255	29.8	3.59	2.5397
1.2	0.791	0.5	285	17	1.97	1.1758
1.2	0.791	0.5	315	14.1	1.54	0.3969
1.2	0.791	0.5	345	11	1.22	0.5895
1.2	0.791	0.7	15	9.3	1.08	0.387
1.2	0.791	0.7	45	12.3	1.46	1.0805
1.2	0.791	0.7	75	18.7	2.16	0.7921
1.2	0.791	0.7	105	25.4	3.15	2.8231
1.2	0.791	0.7	135	19.3	2.45	2.3276
1.2	0.791	0.7	165	22.7	2.35	2.2853
1.2	0.791	0.7	195	19	2.05	1.9912
1.2	0.791	0.7	225	16.5	2.16	1.6963
1.2	0.791	0.7	255	19.1	2.35	1.896
1.2	0.791	0.7	285	22.9	2.53	2.4995
1.2	0.791	0.7	315	15.8	1.77	0.2179
1.2	0.791	0.7	345	8.71	1.08	0.2173
1.2	0.791	0.9	15	10.2	1.39	1.2167
1.2	0.791	0.9	45	12.2	1.49	0.5315
1.2	0.791	0.9	75	17.8	2.11	0.8426
1.2	0.791	0.9	105	15.7	2.03	1.7762
1.2	0.791	0.9	135	13.1	1.87	1.9209
1.2	0.791	0.9	165	17.4	2.16	1.6086
1.2	0.791	0.9	195	18.6	2.15	2.5298
1.2	0.791	0.9	225	16.4	2.16	0.9287
1.2	0.791	0.9	255	14.7	2.04	1.755
1.2	0.791	0.9	285	13.8	1.73	1.3684
1.2	0.791	0.9	315	10.8	1.31	0.7504
1.2	0.791	0.9	345	8.86	1.15	0.4481
Measurement E9M85
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.45 - 0.6
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.22	0.781	-0.9	15	8.48	1.17	0.7961
1.22	0.781	-0.9	45	16.5	1.9	1.6711
1.22	0.781	-0.9	75	13.4	1.63	0.8185
1.22	0.781	-0.9	105	12.4	1.66	0.745
1.22	0.781	-0.9	135	11.7	1.59	1.3806
1.22	0.781	-0.9	165	6.99	1.07	0.4212
1.22	0.781	-0.9	195	8.03	1.28	1.2964
1.22	0.781	-0.9	225	11.4	1.49	1.2568
1.22	0.781	-0.9	255	12.6	1.62	1.0308
1.22	0.781	-0.9	285	17.1	1.99	1.3398
1.22	0.781	-0.9	315	14.2	1.78	1.8193
1.22	0.781	-0.9	345	12.5	1.62	2.0997
1.22	0.781	-0.7	15	12.8	1.3	0.5958
1.22	0.781	-0.7	45	10.9	1.11	1.1726
1.22	0.781	-0.7	75	16.6	1.68	1.4858
1.22	0.781	-0.7	105	14.3	1.65	0.8746
1.22	0.781	-0.7	135	13.6	1.7	1.4552
1.22	0.781	-0.7	165	10	1.35	0.4892
1.22	0.781	-0.7	195	8.11	1.13	0.9243
1.22	0.781	-0.7	225	13.4	1.56	1.1269
1.22	0.781	-0.7	255	17.9	1.91	2.2858
1.22	0.781	-0.7	285	18	1.87	1.0476
1.22	0.781	-0.7	315	19.5	1.79	0.5895
1.22	0.781	-0.7	345	14.7	1.49	0.8426
1.22	0.781	-0.5	15	14	1.29	0.3391
1.22	0.781	-0.5	45	18.5	1.61	0.5292
1.22	0.781	-0.5	75	25.8	2.51	0.8471
1.22	0.781	-0.5	105	21.7	2.29	0.7697
1.22	0.781	-0.5	135	18.2	2.06	1.6163
1.22	0.781	-0.5	165	12.4	1.52	1.2124
1.22	0.781	-0.5	195	13.1	1.48	0.4213
1.22	0.781	-0.5	225	15.5	1.73	1.5969
1.22	0.781	-0.5	255	23.9	2.54	0.7778
1.22	0.781	-0.5	285	23.7	2.33	0.7263
1.22	0.781	-0.5	315	15.7	1.44	0.6614
1.22	0.781	-0.5	345	13.2	1.22	1.4195
1.22	0.781	-0.3	15	18.6	1.65	1.0075
1.22	0.781	-0.3	45	21.2	1.81	1.7335
1.22	0.781	-0.3	75	24.2	2.37	0.9474
1.22	0.781	-0.3	105	31.3	3.38	1.6186
1.22	0.781	-0.3	135	24.4	2.94	0.7194
1.22	0.781	-0.3	165	10.4	1.2	1.3688
1.22	0.781	-0.3	195	12.1	1.34	0.8675
1.22	0.781	-0.3	225	20.7	2.54	1.5969
1.22	0.781	-0.3	255	23.6	2.76	1.2135
1.22	0.781	-0.3	285	27.3	2.67	2.1372
1.22	0.781	-0.3	315	22.1	1.86	1.0828
1.22	0.781	-0.3	345	14.7	1.34	0.255
1.22	0.781	-0.1	15	17.6	1.62	0.2062
1.22	0.781	-0.1	45	19.9	1.74	1.3555
1.22	0.781	-0.1	75	25.8	2.46	0.255
1.22	0.781	-0.1	105	30.2	3.61	2.2561
1.22	0.781	-0.1	135	19.5	2.73	1.021
1.22	0.781	-0.1	165	12.6	1.4	2.3468
1.22	0.781	-0.1	195	15.2	1.67	0.9772
1.22	0.781	-0.1	225	20.9	2.7	1.3351
1.22	0.781	-0.1	255	29.4	3.19	1.5867
1.22	0.781	-0.1	285	32.1	3.01	1.2855
1.22	0.781	-0.1	315	20.4	1.81	0.4272
1.22	0.781	-0.1	345	12.6	1.18	0.8062
1.22	0.781	0.1	15	13.4	1.26	0.1658
1.22	0.781	0.1	45	17.3	1.55	0.9421
1.22	0.781	0.1	75	25	2.4	1.4107
1.22	0.781	0.1	105	32.2	3.48	0.9631
1.22	0.781	0.1	135	25.2	3.43	2.4145
1.22	0.781	0.1	165	19.5	2.18	1.537
1.22	0.781	0.1	195	16.6	1.76	1.2884
1.22	0.781	0.1	225	23.4	3.41	2.3281
1.22	0.781	0.1	255	25.4	2.88	3.6671
1.22	0.781	0.1	285	25.2	2.56	1.0712
1.22	0.781	0.1	315	18.3	1.63	0.6344
1.22	0.781	0.1	345	14.8	1.44	0.5723
1.22	0.781	0.3	15	11.2	1.12	0.7842
1.22	0.781	0.3	45	21	1.9	1.4107
1.22	0.781	0.3	75	25.9	2.57	0.6305
1.22	0.781	0.3	105	27.5	3.22	0.9721
1.22	0.781	0.3	135	23.7	3.39	1.4975
1.22	0.781	0.3	165	14.8	1.74	0.9247
1.22	0.781	0.3	195	18.6	2.16	1.4239
1.22	0.781	0.3	225	22.4	3.04	1.7642
1.22	0.781	0.3	255	30.6	3.25	2.313
1.22	0.781	0.3	285	22.2	2.2	2.0506
1.22	0.781	0.3	315	19.7	1.83	1.2155
1.22	0.781	0.3	345	13.4	1.3	0.886
1.22	0.781	0.5	15	12.3	1.31	0.6205
1.22	0.781	0.5	45	15.3	1.44	1.3491
1.22	0.781	0.5	75	26.2	2.79	2.6557
1.22	0.781	0.5	105	28.2	3.22	1.3702
1.22	0.781	0.5	135	26.9	3.62	0.8155
1.22	0.781	0.5	165	16.1	1.85	1.1522
1.22	0.781	0.5	195	17.3	1.9	2.1892
1.22	0.781	0.5	225	25	3.17	4.5053
1.22	0.781	0.5	255	19.1	2.34	2.188
1.22	0.781	0.5	285	23.3	2.28	2.1296
1.22	0.781	0.5	315	19	1.91	0.9138
1.22	0.781	0.5	345	11.1	1.17	0.255
1.22	0.781	0.7	15	8.85	1.04	0.7594
1.22	0.781	0.7	45	15.1	1.58	1.3238
1.22	0.781	0.7	75	16.7	1.91	1.5379
1.22	0.781	0.7	105	19.9	2.57	1.24
1.22	0.781	0.7	135	18.4	2.52	0.8972
1.22	0.781	0.7	165	18.8	2.1	1.4874
1.22	0.781	0.7	195	18.1	1.95	1.6508
1.22	0.781	0.7	225	19.8	2.91	2.6263
1.22	0.781	0.7	255	24.1	2.69	1.0642
1.22	0.781	0.7	285	16.1	1.87	1.3416
1.22	0.781	0.7	315	14.8	1.53	0.6144
1.22	0.781	0.7	345	8.87	1.1	0.7552
1.22	0.781	0.9	15	7.18	0.974	0.7112
1.22	0.781	0.9	45	14.4	1.69	1.032
1.22	0.781	0.9	75	15.9	1.86	0.7842
1.22	0.781	0.9	105	11.2	1.51	1.2339
1.22	0.781	0.9	135	14.8	1.98	1.3048
1.22	0.781	0.9	165	16.3	2.05	2.0952
1.22	0.781	0.9	195	15.8	1.93	1.1045
1.22	0.781	0.9	225	12.9	1.84	1.5621
1.22	0.781	0.9	255	11.3	1.58	0.7762
1.22	0.781	0.9	285	10.7	1.38	1.0969
1.22	0.781	0.9	315	11.4	1.34	0.6364
1.22	0.781	0.9	345	11.2	1.42	0.9863
Measurement E9M86
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.45 - 0.6
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.24	0.769	-0.9	15	9	1.19	0.3138
1.24	0.769	-0.9	45	8.58	1.16	0.4915
1.24	0.769	-0.9	75	9.26	1.29	0.7982
1.24	0.769	-0.9	105	12.1	1.59	0.8986
1.24	0.769	-0.9	135	5.3	0.833	0.3863
1.24	0.769	-0.9	165	4.82	0.878	0.7997
1.24	0.769	-0.9	195	5.4	0.892	1.5216
1.24	0.769	-0.9	225	8.03	1.29	0.9791
1.24	0.769	-0.9	255	8.49	1.21	0.3483
1.24	0.769	-0.9	285	11.7	1.59	1.4562
1.24	0.769	-0.9	315	9.31	1.25	0.4499
1.24	0.769	-0.9	345	8.69	1.15	0.5256
1.24	0.769	-0.7	15	11.8	1.2	0.7697
1.24	0.769	-0.7	45	13.3	1.33	0.6245
1.24	0.769	-0.7	75	15.6	1.69	1.321
1.24	0.769	-0.7	105	16.5	1.89	0.324
1.24	0.769	-0.7	135	7.91	1.15	0.7223
1.24	0.769	-0.7	165	8.78	1.17	1.4472
1.24	0.769	-0.7	195	4.89	0.771	0.4302
1.24	0.769	-0.7	225	9.31	1.25	0.859
1.24	0.769	-0.7	255	18.6	2.12	1.9092
1.24	0.769	-0.7	285	15.2	1.67	1.3115
1.24	0.769	-0.7	315	10.9	1.14	0.8209
1.24	0.769	-0.7	345	10.1	1.11	1.1628
1.24	0.769	-0.5	15	12	1.13	0.6595
1.24	0.769	-0.5	45	13.3	1.24	1.0618
1.24	0.769	-0.5	75	20.4	2.02	0.4555
1.24	0.769	-0.5	105	19.6	2.21	0.75
1.24	0.769	-0.5	135	14.9	2.1	1.7944
1.24	0.769	-0.5	165	13.7	1.7	2.893
1.24	0.769	-0.5	195	8.51	1.08	0.6656
1.24	0.769	-0.5	225	12.6	1.68	0.9823
1.24	0.769	-0.5	255	20.5	2.34	0.8078
1.24	0.769	-0.5	285	17.7	1.81	1.9545
1.24	0.769	-0.5	315	12.8	1.18	1.5819
1.24	0.769	-0.5	345	12.8	1.22	0.5074
1.24	0.769	-0.3	15	10.6	1	0.2179
1.24	0.769	-0.3	45	16.6	1.53	0.3937
1.24	0.769	-0.3	75	25.6	2.6	2.0081
1.24	0.769	-0.3	105	16.1	2.03	1.6904
1.24	0.769	-0.3	135	16.1	2.25	2.0187
1.24	0.769	-0.3	165	9.09	1.1	0.971
1.24	0.769	-0.3	195	10.9	1.29	0.6258
1.24	0.769	-0.3	225	18.7	2.53	1.9125
1.24	0.769	-0.3	255	16.8	2.01	1.4474
1.24	0.769	-0.3	285	18.9	1.97	1.2288
1.24	0.769	-0.3	315	16.4	1.47	0.9421
1.24	0.769	-0.3	345	11.7	1.18	1.281
1.24	0.769	-0.1	15	12.3	1.16	0.1118
1.24	0.769	-0.1	45	16	1.45	0.7616
1.24	0.769	-0.1	75	21.2	2.28	0.4093
1.24	0.769	-0.1	105	27.2	3.01	1.2913
1.24	0.769	-0.1	135	21.4	3.28	2.5164
1.24	0.769	-0.1	165	11.9	1.49	0.6442
1.24	0.769	-0.1	195	10.3	1.33	1.0953
1.24	0.769	-0.1	225	16.8	2.76	2.1558
1.24	0.769	-0.1	255	19.6	2.28	0.9887
1.24	0.769	-0.1	285	28.4	2.74	1.1169
1.24	0.769	-0.1	315	16.1	1.44	0.7246
1.24	0.769	-0.1	345	10.8	1.08	0.1936
1.24	0.769	0.1	15	9.62	0.922	0.9427
1.24	0.769	0.1	45	20	1.73	0.2398
1.24	0.769	0.1	75	26.5	2.59	1.6598
1.24	0.769	0.1	105	34.8	3.56	2.6311
1.24	0.769	0.1	135	14.3	2.4	0.5545
1.24	0.769	0.1	165	15.6	1.89	1.1079
1.24	0.769	0.1	195	9.68	1.35	1.0673
1.24	0.769	0.1	225	13	2.19	1.4133
1.24	0.769	0.1	255	28.2	2.95	0.4975
1.24	0.769	0.1	285	27.3	2.65	1.9717
1.24	0.769	0.1	315	17.9	1.63	0.866
1.24	0.769	0.1	345	11	1.05	0.3536
1.24	0.769	0.3	15	12.6	1.23	0.6782
1.24	0.769	0.3	45	15.4	1.54	0.6614
1.24	0.769	0.3	75	20.4	2.04	2.6053
1.24	0.769	0.3	105	24.5	2.68	1.7125
1.24	0.769	0.3	135	17.3	2.57	1.6263
1.24	0.769	0.3	165	10.7	1.58	1.3959
1.24	0.769	0.3	195	17.3	2.15	1.0724
1.24	0.769	0.3	225	15.8	2.57	1.0654
1.24	0.769	0.3	255	21.2	2.38	1.05
1.24	0.769	0.3	285	21.3	2.26	0.4822
1.24	0.769	0.3	315	16.4	1.53	0.2739
1.24	0.769	0.3	345	10.3	1.02	0.3
1.24	0.769	0.5	15	8.7	0.902	1.2977
1.24	0.769	0.5	45	16.3	1.61	0.7365
1.24	0.769	0.5	75	22.2	2.3	0.8529
1.24	0.769	0.5	105	18.4	2.13	1.8187
1.24	0.769	0.5	135	21	2.96	1.558
1.24	0.769	0.5	165	13.3	2	1.7776
1.24	0.769	0.5	195	16.7	2.19	2.9112
1.24	0.769	0.5	225	22	3.08	1.1467
1.24	0.769	0.5	255	25.8	2.73	1.6576
1.24	0.769	0.5	285	21.2	2.33	2.4382
1.24	0.769	0.5	315	15.3	1.53	0.2915
1.24	0.769	0.5	345	9.27	0.979	0.512
1.24	0.769	0.7	15	8.41	1.04	0.9734
1.24	0.769	0.7	45	13.3	1.48	0.8874
1.24	0.769	0.7	75	13.5	1.58	0.9552
1.24	0.769	0.7	105	18.6	2.39	2.2605
1.24	0.769	0.7	135	14	2.46	1.6125
1.24	0.769	0.7	165	10.6	1.45	2.005
1.24	0.769	0.7	195	17.6	2.31	2.5632
1.24	0.769	0.7	225	15.1	2.51	1.7015
1.24	0.769	0.7	255	18.9	2.49	2.7591
1.24	0.769	0.7	285	16.2	1.94	1.0689
1.24	0.769	0.7	315	10.7	1.19	1.562
1.24	0.769	0.7	345	8.67	0.991	0.4522
1.24	0.769	0.9	15	7.65	1.04	0.8682
1.24	0.769	0.9	45	8.84	1.15	0.3865
1.24	0.769	0.9	75	14.5	2.07	2.6339
1.24	0.769	0.9	105	10.5	1.62	0.9
1.24	0.769	0.9	135	11.1	1.72	1.9033
1.24	0.769	0.9	165	9.77	1.46	1.5344
1.24	0.769	0.9	195	9.59	1.41	1.056
1.24	0.769	0.9	225	11.9	1.8	1.7684
1.24	0.769	0.9	255	10.4	1.45	0.7242
1.24	0.769	0.9	285	13.1	1.66	1.4654
1.24	0.769	0.9	315	10.1	1.3	1.6419
1.24	0.769	0.9	345	7.34	1.03	0.5697
Measurement E9M87
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.45 - 0.6
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.26	0.758	-0.9	15	4.65	0.73	0.6045
1.26	0.758	-0.9	45	5.54	0.848	0.7962
1.26	0.758	-0.9	75	6.68	1.05	0.6768
1.26	0.758	-0.9	105	6.63	1.08	0.941
1.26	0.758	-0.9	135	5.26	0.985	0.4047
1.26	0.758	-0.9	165	4.63	0.921	0.6312
1.26	0.758	-0.9	195	3.1	0.631	0.3332
1.26	0.758	-0.9	225	4.82	0.902	0.2033
1.26	0.758	-0.9	255	6.01	1.01	0.6146
1.26	0.758	-0.9	285	6.06	0.961	0.6546
1.26	0.758	-0.9	315	5.86	0.842	0.4671
1.26	0.758	-0.9	345	5.56	0.842	0.3122
1.26	0.758	-0.7	15	5.96	0.741	0.275
1.26	0.758	-0.7	45	8.3	0.949	1.0578
1.26	0.758	-0.7	75	11.4	1.42	1.4313
1.26	0.758	-0.7	105	10.7	1.49	1.0441
1.26	0.758	-0.7	135	6.91	1.09	0.6129
1.26	0.758	-0.7	165	4.48	0.77	0.4859
1.26	0.758	-0.7	195	4.08	0.699	0.2056
1.26	0.758	-0.7	225	5.91	0.981	0.4541
1.26	0.758	-0.7	255	11.6	1.54	0.9668
1.26	0.758	-0.7	285	8.61	1.05	1.6699
1.26	0.758	-0.7	315	8.91	1.05	0.3109
1.26	0.758	-0.7	345	5.31	0.708	0.4915
1.26	0.758	-0.5	15	8.99	0.935	0.2472
1.26	0.758	-0.5	45	9.36	1.04	0.2981
1.26	0.758	-0.5	75	15.7	1.72	2.5278
1.26	0.758	-0.5	105	16.7	2.01	0.8573
1.26	0.758	-0.5	135	9.43	1.67	1.034
1.26	0.758	-0.5	165	6.82	0.998	0.8624
1.26	0.758	-0.5	195	4.29	0.717	0.4883
1.26	0.758	-0.5	225	12.2	1.87	1.0618
1.26	0.758	-0.5	255	8.68	1.26	0.6137
1.26	0.758	-0.5	285	11.5	1.37	0.7583
1.26	0.758	-0.5	315	11.8	1.12	1.6628
1.26	0.758	-0.5	345	8.57	0.898	0.761
1.26	0.758	-0.3	15	7.88	0.809	0.4588
1.26	0.758	-0.3	45	11.1	1.12	0.9327
1.26	0.758	-0.3	75	16.1	1.87	0.4555
1.26	0.758	-0.3	105	21.2	2.44	2.2467
1.26	0.758	-0.3	135	8.67	1.81	0.5977
1.26	0.758	-0.3	165	9.07	1.39	0.6881
1.26	0.758	-0.3	195	8.55	1.33	1.0564
1.26	0.758	-0.3	225	8.41	1.61	2.2109
1.26	0.758	-0.3	255	16.7	2.09	0.8703
1.26	0.758	-0.3	285	12.7	1.57	0.1732
1.26	0.758	-0.3	315	15.5	1.43	0.9474
1.26	0.758	-0.3	345	9.52	0.967	0.8688
1.26	0.758	-0.1	15	8.25	0.817	0.5455
1.26	0.758	-0.1	45	14.7	1.36	0.1871
1.26	0.758	-0.1	75	19.4	2.05	0.2449
1.26	0.758	-0.1	105	15.9	2.01	1.3444
1.26	0.758	-0.1	135	14.7	2.44	2.4341
1.26	0.758	-0.1	165	7.4	1.2	0.6128
1.26	0.758	-0.1	195	7.46	1.2	1.128
1.26	0.758	-0.1	225	12.2	2.07	0.817
1.26	0.758	-0.1	255	22.6	2.68	1.164
1.26	0.758	-0.1	285	16.7	1.78	1.1303
1.26	0.758	-0.1	315	14.6	1.45	1.2114
1.26	0.758	-0.1	345	9.37	0.915	0.6825
1.26	0.758	0.1	15	9.26	0.931	0.0665
1.26	0.758	0.1	45	12.8	1.27	0.2598
1.26	0.758	0.1	75	17	1.86	0.2179
1.26	0.758	0.1	105	18.9	2.25	0.6364
1.26	0.758	0.1	135	14.1	2.29	0.495
1.26	0.758	0.1	165	8.7	1.62	0.5184
1.26	0.758	0.1	195	8.46	1.52	0.8881
1.26	0.758	0.1	225	15.1	2.4	1.8894
